Location,Data,Goal,Coordinates,Title,Category,Data category
Philippines,Sentinel-1 and Sentinel-2 data,Mapping land use and land cover changes,"12.8797, 121.7740",Deep learning U-Net classification of Sentinel-1 and 2 fusions effectively demarcates tropical montane forest's deforestation,Forest cover assessment,Satellite imagery or LiDAR
New Zealand,Aerial imagery,Tree species classification,"-40.900557, 174.885971",Deep Learning and Phenology Enhance Large-Scale Tree Species Classification in Aerial Imagery during a Biosecurity Response,Tree species classification,Drone imagery
Not specified,Terrestrial laser scanning data,Tree species classification,Not specified,Tree species classification from complex laser scanning data in Mediterranean forests using deep learning,Tree species classification,LiDAR
Northeast China,Satellite imagery,Mapping forest canopy height,"41.1575, 123.3685","High-resolution mapping of forest canopy height using machine learning by coupling ICESat-2 LiDAR with Sentinel-1, Sentinel-2 and Landsat-8 data",Canopy and biomass estimation,Satellite imagery or LiDAR
Nigeria,Tree height-diameter relationships,Estimating aboveground biomass,"9.082, 8.6753",Modelling height-diameter relationships in complex tropical rain forest ecosystems using deep learning algorithm,Canopy and biomass estimation,Animal or plant data
Not specified,Images,Forest fire detection,Not specified,Forest fire and smoke detection using deep learning-based learning without forgetting,Forest fire monitoring and prevention,Ground-level photographs
Not specified,Spectral information,Improving genomic and phenomic prediction accuracy in tree breeding,Not specified,Integrating deep learning for phenomic and genomic predictive modeling of trees,Tree species classification,Sensor data
Not specified,Remote sensing data,Estimating forest above-ground biomass,Not specified,Improving Forest Above-Ground Biomass Estimation by Integrating Individual Machine Learning Models,Canopy and biomass estimation,Satellite imagery or LiDAR
Finnish Lapland,Multi-source satellite SAR and optical images,Predicting forest height,"67.25600, 25.01800",Deep Learning Model Transfer in Forest Mapping Using Multi-Source Satellite SAR and Optical Images,Canopy and biomass estimation,Satellite imagery or LiDAR
Seoul,Google street view images,Tree species classification,"37.5665, 126.9783",An automatic approach for tree species detection and profile estimation of urban street trees using deep learning and Google street view images,Tree species classification,Ground-level photographs
China,Satellite images,Characterizing forest types,"25.7617, 113.5040",Beyond tree cover: Characterizing southern China's forests using deep learning,Forest cover assessment,Satellite imagery
Not specified,Leaf senescence data,Predicting leaf senescence date,Not specified,Interpretable machine learning algorithms to predict leaf senescence date of deciduous trees,Tree species classification,Animal or plant data
"Tasmania, Australia",Remote sensing data,Mapping forest cover,"-42.8821, 147.3272",Nonparametric machine learning for mapping forest cover and exploring influential factors,Forest cover assessment,Satellite imagery or LiDAR
"NSW, Australia",Airborne laser scanning,Automated tree detection and segmentation,"-33.8688, 151.2093","Detection, Segmentation, and Model Fitting of Individual Tree Stems from Airborne Laser Scanning of Forests Using Deep Learning",Tree species classification,Satellite imagery or LiDAR
South Carolina,Forest fire data,Forest fire prediction,"33.836081, -80.945808",Forest Fire Prediction: A Spatial Machine Learning and Neural Network Approach,Forest fire monitoring and prevention,Animal or plant data
Not specified,Remote sensing data,Classifying forest vertical structure,Not specified,Classification of Forest Vertical Structure Using Machine Learning Analysis,Canopy and biomass estimation,Satellite imagery or LiDAR
Brazil,Continuous forest inventories,Prognosis of forest production,"-14.2350, -51.9253",Prognosis of forest production using machine learning techniques,Canopy and biomass estimation,Animal or plant data
Not specified,Airborne LiDAR,Tree crown detection,"39.5501, -98.5839",Cross-site learning in deep learning RGB tree crown detection,Tree species classification,Satellite imagery or LiDAR
"Istanbul, Turkey",LiDAR,Tree species classification,"41.0082, 28.9784",The Use of Machine Learning Algorithms in Urban Tree Species Classification,Tree species classification,Satellite imagery or LiDAR
Southern China,Airborne LiDAR data,Estimating forest structural parameters,"23.000000, 113.000000",Deep Learning in Forest Structural Parameter Estimation Using Airborne LiDAR Data,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,LiDAR data,Individual tree detection,"46.81819, 8.22751",DEEP LEARNING FOR IMPROVED INDIVIDUAL TREE DETECTION FROM LIDAR DATA,Tree species classification,Satellite imagery or LiDAR
Not specified,Satellite remote sensing data,Wildfire smoke detection,Not specified,Forest Smoke-Fire Net (FSF Net): A Wildfire Smoke Detection Model That Combines MODIS Remote Sensing Images with Regional Dynamic Brightness Temperature Thresholds,Forest fire monitoring and prevention,Satellite imagery or LiDAR
Northeast China,Sentinel-2 images,Tree species classification,"43.83216, 123.43282",Exploitation of Time Series Sentinel-2 Data and Different Machine Learning Algorithms for Detailed Tree Species Classification,Tree species classification,Satellite imagery or LiDAR
Guatemala,Satellite imagery,Change detection,"15.78347, -90.23024",FOREST MONITORING IN GUATEMALA USING SATELLITE IMAGERY AND DEEP LEARNING,Forest cover assessment,Satellite imagery
China,Remote sensing images,Woodland detection,"35.86166, 104.195397",WOODLAND DETECTION USING MOST-SURE STRATEGY TO FUSE SEGMENTATION RESULTS OF DEEP LEARNING,Forest cover assessment,Satellite imagery or LiDAR
Not specified,TanDEM-X data,Forest classification,Not specified,DEEP LEARNING SOLUTIONS FOR TANDEM-X-BASED FOREST CLASSIFICATION,Tree species classification,Satellite imagery or LiDAR
Not specified,Images,Tree species identification,Not specified,Developing deep learning models to automate rosewood tree species identification for CITES designation and implementation,Tree species classification,Ground-level photographs
"Parana, Brazil",Sentinel-2 images,Distinguishing and estimating natural forest areas,"-24.076949, -52.197030",Object-Based Image Analysis (OBIA) and Machine Learning (ML) Applied to Tropical Forest Mapping Using Sentinel-2,Forest cover assessment,Satellite imagery or LiDAR
Not specified,UAV LiDAR data and RGB orthophotos,Tree species classification,Not specified,TSCMDL: Multimodal Deep Learning Framework for Classifying Tree Species Using Fusion of 2-D and 3-D Features,Tree species classification,Satellite imagery or LiDAR
Not specified,3D laser scanning point clouds,Tree species classification,Not specified,Predicting Tree Species From 3D Laser Scanning Point Clouds Using Deep Learning,Tree species classification,LiDAR
Not specified,Terrestrial laser scanning,Leaf-wood segmentation,Not specified,THREE-DIMENSIONAL DEEP LEARNING FOR LEAF-WOOD SEGMENTATION OF TROPICAL TREE POINT CLOUDS,Tree species classification,LiDAR
"Northern Tasmania, Australia",Remote sensing data,Predicting forest productivity,"-41.10000, 146.00000","Supervised machine learning for predicting and interpreting dynamic drivers of plantation forest productivity in northern Tasmania, Australia",Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Remote sensing data,Detecting and segmenting apple trees,Not specified,Extracting apple tree crown information from remote imagery using deep learning,Tree species classification,Satellite imagery or LiDAR
Not specified,UAV remote sensing data,Tracking tree changes,Not specified,Research on a Single-Tree Point Cloud Segmentation Method Based on UAV Tilt Photography and Deep Learning Algorithm,Tree species classification,Drone imagery
"Black Forest, Harz Region, Göttinger Forest",Multispectral UAV data,Tree health classification,"51.99448, 8.57359","Evaluating Different Deep Learning Approaches for Tree Health Classification Using High-Resolution Multispectral UAV Data in the Black Forest, Harz Region, and Göttinger Forest",Tree species classification,Drone imagery
"Northern Idaho, USA",Tree-ring data,Parameterizing forest growth models,"46.15019, -116.67344",Tree-ring based forest model calibrations with a deep learning algorithm,Canopy and biomass estimation,Animal or plant data
Kenya,Earth observation data,Monitoring forest cover change,"-1.286389, 36.817223",Pyeo: A Python package for near-real-time forest cover change detection from Earth observation using machine learning,Forest cover assessment,Satellite imagery or LiDAR
Not specified,Image data,Detecting disease and pest infections in coconut trees,"1.3521, 103.8198",Disease and pest infection detection in coconut tree through deep learning techniques,Tree species classification,Ground-level photographs
"Columbia, SC, USA",High resolution NAIP imagery and Landsat thermal imagery,Identifying urban tree canopy and analyzing urban heat island effect,"34.00071, -81.03481","Machine Learning in Urban Tree Canopy Mapping: A Columbia, SC Case Study for Urban Heat Island Analysis",Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Remote sensing data,Estimating aboveground biomass,"23.12911, 113.264385",Estimation aboveground biomass in subtropical bamboo forests based on an interpretable machine learning framework,Canopy and biomass estimation,Satellite imagery or LiDAR
"Arkhangelsk, Russia","Hyperspectral imagery, LiDAR data",Tree species classification,"64.53995, 40.57324",Remote sensing and machine learning for tree detection and classification in forestry applications,Tree species classification,Satellite imagery or LiDAR
"Huangshan Mountains, Anhui Province, China",Remote sensing data,Individual tree species identification,"29.7151, 118.1748",Individual Tree Species Identification Based on a Combination of Deep Learning and Traditional Features,Tree species classification,Satellite imagery or LiDAR
Iran,Remote sensing data,Modeling forest canopy cover,"36.5665, 54.3052","Modeling Forest Canopy Cover: A Synergistic Use of Sentinel-2, Aerial Photogrammetry Data, and Machine Learning",Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Aerial imagery,Tree species classification,Not specified,DEEP LEARNING BASED AERIAL IMAGERY CLASSIFICATION FOR TREE SPECIES IDENTIFICATION,Tree species classification,Drone imagery
Not specified,Digital images,Characterizing seed populations,Not specified,Image analysis of seeds and machine learning as a tool for distinguishing populations: Applied to an invasive tree species,Tree species classification,Ground-level photographs
"Vaihingen, Germany",Multi-sensor remote sensed images,Land cover classification,"48.7095, 8.7008",Classification of remote sensed images using random forests and deep learning framework,Forest cover assessment,Satellite imagery or LiDAR
Bangladesh,Remote sensing data,Monitoring forest degradation,"21.42857, 92.96924",An integrated machine learning and remote sensing approach for monitoring forest degradation due to Rohingya refugee influx in Bangladesh,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Kolovai,Satellite data,Coconut palm tree detection,"6.3112, -177.0939",Identification of coconut palm trees using single shot detector deep learning model,Tree species classification,Satellite imagery or LiDAR
Not specified,RGB imagery,Individual crown detection,"39.50000, -98.03500",Individual Tree-Crown Detection in RGB Imagery Using Semi-Supervised Deep Learning Neural Networks,Canopy and biomass estimation,Drone imagery
Not specified,Remote sensing data,Leaf area index estimation,Not specified,A hybrid training approach for leaf area index estimation via Cubist and random forests machine-learning,Canopy and biomass estimation,Satellite imagery or LiDAR
Japan,UAV RGB image,Tree species identification,"36.2048, 138.2529",Practicality and Robustness of Tree Species Identification Using UAV RGB Image and Deep Learning in Temperate Forest in Japan,Tree species classification,Drone imagery
Not specified,Field photographs,Tree species identification,Not specified,Identification of broad-leaf trees using deep learning based on field photographs of multiple leaves,Tree species classification,Ground-level photographs
Eastern China,Multisource remote sensing data,Estimating aboveground carbon density,"35.86166, 104.195397",Estimation of Aboveground Carbon Density of Forests Using Deep Learning and Multisource Remote Sensing,Canopy and biomass estimation,Satellite imagery or LiDAR
"Gujarat, India",LiDAR,Mapping canopy height,"21.2353, 73.2229",Mixed tropical forests canopy height mapping from spaceborne LiDAR GEDI and multisensor imagery using machine learning models,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Remote sensing data,Estimating tree cover,Not specified,Tree Cover Estimation in Global Drylands from Space Using Deep Learning,Forest cover assessment,Satellite imagery or LiDAR
Taipei,Big dataset of street trees,Evaluating ecosystem services of urban forestry,"25.0478, 121.5319",An artificial intelligence approach for identifying efficient urban forest indicators on ecosystem service assessment,Forest cover assessment,Animal or plant data
Spain,Remote sensing data,Estimating forest height,"40.4637, -3.7492","LARGE-SCALE FOREST HEIGHT MAPPING FROM TANDEM-X, ICESAT-2 AND LANDSAT 8 DATA USING A MACHINE-LEARNING METHOD",Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Ground-based LiDAR data,Tree species classification,Not specified,Tree Species Classification Using Ground-Based LiDAR Data by Various Point Cloud Deep Learning Methods,Tree species classification,Satellite imagery or LiDAR
Caspian temperate forest,"Landsat-8, Sentinel-2",Tree species composition mapping,"39.83219, 50.12945",Mapping tree species composition in a Caspian temperate mixed forest based on spectral-temporal metrics and machine learning,Tree species classification,Satellite imagery or LiDAR
China,Remote sensing data,Estimating aboveground biomass,"35.86166, 104.1954",Influence of Variable Selection and Forest Type on Forest Aboveground Biomass Estimation Using Machine Learning Algorithms,Canopy and biomass estimation,Satellite imagery or LiDAR
California,PlanetScope imagery,Detecting forest disturbance,"37.7749, -119.4194",Detection of forest disturbance across California using deep-learning on PlanetScope imagery,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Brazil,Data collected from tree measurements,Modeling annual periodic increment in diameter of individual trees,"-19.5141, -42.6782",Machine learning: Modeling increment in diameter of individual trees on Atlantic Forest fragments,Tree species classification,Animal or plant data
South Africa,Remote sensing data,Mapping plantation forest genera,"-30.5595, 22.9375",Signature extension as a machine learning strategy for mapping plantation forest genera with Sentinel-2 imagery,Tree species classification,Satellite imagery or LiDAR
"West Virginia, United States",Landsat time series data,Operational forest type mapping,"38.59774, -80.45490","Forest Type Differentiation Using GLAD Phenology Metrics, Land Surface Parameters, and Machine Learning",Tree species classification,Satellite imagery or LiDAR
Iran,MODIS satellite imagery,Forest fire susceptibility mapping,"32.30530, 50.85852",Ubiquitous GIS-Based Forest Fire Susceptibility Mapping Using Artificial Intelligence Methods,Forest fire monitoring and prevention,Satellite imagery or LiDAR
eastern Canada,Remote sensing data,Detecting and classifying boreal forest disturbances,"53.7267, -94.1375",Evaluating deep learning methods applied to Landsat time series subsequences to detect and classify boreal forest disturbances events: The challenge of partial and progressive disturbances,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Not specified,Smartphone sensor data,Monitoring forest road conditions,Not specified,Novel approach for forest road maintenance using smartphone sensor data and deep learning methods,Other,Sensor data
Costa Rica,Multispectral UAV data,Detecting dead woody components,"10.5, -85.5",Unmanned Aerial System and Machine Learning Techniques Help to Detect Dead Woody Components in a Tropical Dry Forest,Habitat degradation and biodiversity monitoring,Drone imagery
Brazil,High-resolution imagery,Tree canopy segmentation,"-15.7801, -47.9292",Machine learning and SLIC for Tree Canopies segmentation in urban areas,Canopy and biomass estimation,Satellite imagery or LiDAR
"Florida Panhandle, Southern U.S.",Terrestrial laser scanning,Post-hurricane damage severity classification,"30.4569, -85.5219",Post-Hurricane Damage Severity Classification at the Individual Tree Level Using Terrestrial Laser Scanning and Deep Learning,Tree species classification,LiDAR
China,Sentinel imagery,Estimating above-ground biomass,"41.40425, 128.98172",Estimation of Forest Above-Ground Biomass by Geographically Weighted Regression and Machine Learning with Sentinel Imagery,Canopy and biomass estimation,Satellite imagery or LiDAR
China,VIIRS,Predicting forest fires,"35.86166, 104.1954",Mapping China's Forest Fire Risks with Machine Learning,Forest fire monitoring and prevention,Satellite imagery or LiDAR
United States,Forest Inventory and Analysis data,Predicting tree species richness,"37.09024, -95.71289",Improved prediction of tree species richness and interpretability of environmental drivers using a machine learning approach,Tree species classification,Animal or plant data
Not specified,Terrestrial laser scanning,Identifying tree-related microhabitats,Not specified,Identifying Tree-Related Microhabitats in TLS Point Clouds Using Machine Learning,Habitat degradation and biodiversity monitoring,Sensor data
Ethiopia,Satellite imagery,Mapping highland bamboo forests,"9.145, 40.489673",Improved mapping of highland bamboo forests using Sentinel-2 time series and machine learning in Google Earth Engine,Forest cover assessment,Satellite imagery
India,Remote sensing data,Estimating above-ground biomass,"21.0928, 75.9842",Estimating Above-Ground Biomass of the Regional Forest Landscape of Northern Western Ghats Using Machine Learning Algorithms and Multi-sensor Remote Sensing Data,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Geostationary satellite data,Forest fire detection,Not specified,A deep learning model using geostationary satellite data for forest fire detection with reduced detection latency,Forest fire monitoring and prevention,Satellite imagery or LiDAR
European Alps,Tree-ring data,Determining geographical provenance of historical construction timbers,"46.61903, 11.78157",Using machine learning on tree-ring data to determine the geographical provenance of historical construction timbers,Tree species classification,Animal or plant data
Brazil,LiDAR data,Estimating stand and diversity variables,"-22.0000, -43.0000",Identification of Significative LiDAR Metrics and Comparison of Machine Learning Approaches for Estimating Stand and Diversity Variables in Heterogeneous Brazilian Atlantic Forest,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Gwangneung region,Multi-temporally integrated imageries,Tree species classification,"37.30000, 127.10000",Deepening the Accuracy of Tree Species Classification: A Deep Learning-Based Methodology,Tree species classification,Satellite imagery or LiDAR
South America,MODIS,Mapping burned areas,"-15.7801, -47.9292",Mapping Burned Areas in Tropical Forests Using a Novel Machine Learning Framework,Forest fire monitoring and prevention,Satellite imagery or LiDAR
"Jodhpur, India",Landsat 8 OLI,Quantification of aboveground biomass,"26.2389, 73. maatlong23","Quantification of carbon sequestration by urban forest using Landsat 8 OLI and machine learning algorithms in Jodhpur, India",Canopy and biomass estimation,Satellite imagery or LiDAR
Turkey,Sentinel-2 images,Classifying tree species,"39.9334, 32.8597",FOREST SEMANTIC SEGMENTATION BASED ON DEEP LEARNING USING SENTINEL-2 IMAGES,Tree species classification,Satellite imagery or LiDAR
Not specified,LiDAR point clouds,Tree stem segmentation,Not specified,Using Synthetic Tree Data in Deep Learning-Based Tree Segmentation Using LiDAR Point Clouds,Tree species classification,Satellite imagery or LiDAR
India,MODIS fire hotspots,Predicting forest fire susceptibility,"20.593684, 78.962880",Assessing the predictive efficacy of six machine learning algorithms for the susceptibility of Indian forests to fire,Forest fire monitoring and prevention,Satellite imagery or LiDAR
Not specified,Drone images,Forest fire detection,Not specified,Exploiting drone images for forest fire detection using metaheuristics with deep learning model,Forest fire monitoring and prevention,Drone imagery
"WA and NSW, Australia",Ultrasonic signals,Tree health assessment,"-31.9505, 115.8605",Standing tree health assessment using contact-ultrasonic testing and machine learning,Tree species classification,Sensor data
Not specified,Remote sensing data,Tree detection and crown extraction,Not specified,Cherry Tree Crown Extraction Using Machine Learning Based on Images from UAVs,Tree species classification,Drone imagery
Gabon,InSAR data,Estimating forest height,"-0.80369, 11.60944",POTENTIAL OF DEEP LEARNING FOR FOREST HEIGHT ESTIMATION FROM TANDEM-X BISTATIC INSAR DATA,Canopy and biomass estimation,Satellite imagery or LiDAR
Iran,Remote sensing data,Predicting forest fire susceptibility,"36.65125, 54.09368",Forest Fire Susceptibility Prediction Based on Machine Learning Models with Resampling Algorithms on Remote Sensing Data,Forest fire monitoring and prevention,Satellite imagery or LiDAR
Poland,PlanetScope satellite images,Tree-cutting detection,"52.06578, 19.11041",Comparing Object-Based and Pixel-Based Machine Learning Models for Tree-Cutting Detection with PlanetScope Satellite Images: Exploring Model Generalization,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
South Korea,High-resolution remote sensing data,Estimating forest carbon stocks,"35.9078, 127.7669",Estimation of Forest Carbon Stock in South Korea Using Machine Learning with High-Resolution Remote Sensing Data,Canopy and biomass estimation,Satellite imagery or LiDAR
"Daxing'anling Mountains, China",Remote sensing data,Estimating above-ground biomass,"50.7060, 120.5703",A Multi-Scale Forest Above-Ground Biomass Mapping Approach: Employing a Step-by-Step Spatial Downscaling Method with Bias-Corrected Ensemble Machine Learning,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Remote sensing data,Estimating forest biomass,Not specified,Combining Multisource Data and Machine Learning Approaches for Multiscale Estimation of Forest Biomass,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Airborne LiDAR data,Tree species classification,Not specified,TREE SPECIES CLASSFIFCATION USING DEEP LEARNING BASED 3D POINT CLOUD TRANSFORMER ON AIRBORNE LIDAR DATA,Tree species classification,Satellite imagery or LiDAR
Brazil,Airborne LiDAR data,Mapping canopy palm cover,"-3.4653, -62.2159",Canopy palm cover across the Brazilian Amazon forests mapped with airborne LiDAR data and deep learning,Canopy and biomass estimation,Satellite imagery or LiDAR
Qingyuan County,Sentinel-2,Forest tree species classification,"23.6902, 113.1859",Deep Learning in Forest Tree Species Classification Using Sentinel-2 on Google Earth Engine: A Case Study of Qingyuan County,Tree species classification,Satellite imagery or LiDAR
Northeastern China,Ground-source forest inventory data,Understanding tree species diversity patterns,"42.0000, 126.0000",Understanding patterns and potential drivers of forest diversity in northeastern China using machine-learning algorithms,Tree species classification,Ground-level photographs
Mexico,Remote sensing data,Estimating aboveground biomass,"26.03243, -107.15570",Modeling of Aboveground Biomass with Landsat 8 OLI and Machine Learning in Temperate Forests,Canopy and biomass estimation,Satellite imagery or LiDAR
Northern Thailand,Remote sensing data,Investigating forest cover change,"19.3013, 98.5524",Using a Logistic Regression Model to Examine the Variables Influencing Changes in Northern Thailand's Forest Cover and Comparing Machine Learning Algorithms,Forest cover assessment,Satellite imagery or LiDAR
Pacific Northwest region of US,RGB and point cloud data,Automating tree training operations,"46.60028, -120.55420",Deep learning based segmentation for automated training of apple trees on trellis wires,Tree species classification,Sensor data
