Location,Data,Goal,Coordinates,Title,Category
"Ayodhya hill region, Eastern Ghats, India",Historical forest fire events and predictors,Forest fire susceptibility prediction,"20.3718, 78.6739",Prediction of forest fire susceptibility applying machine and deep learning algorithms for conservation priorities of forest resources,Forest fire monitoring and prevention
Not specified,LiDAR data,Individual tree detection,"46.81819, 8.22751",DEEP LEARNING FOR IMPROVED INDIVIDUAL TREE DETECTION FROM LIDAR DATA,Tree species classification
Not specified,Satellite remote sensing data,Wildfire smoke detection,Not specified,Forest Smoke-Fire Net (FSF Net): A Wildfire Smoke Detection Model That Combines MODIS Remote Sensing Images with Regional Dynamic Brightness Temperature Thresholds,Forest fire monitoring and prevention
Northeast China,Sentinel-2 images,Tree species classification,"43.83216, 123.43282",Exploitation of Time Series Sentinel-2 Data and Different Machine Learning Algorithms for Detailed Tree Species Classification,Tree species classification
Australia,Spatiotemporal data,Projecting forest cover dynamics,"-25.274398, 133.775136",Projecting Australia's forest cover dynamics and exploring influential factors using deep learning,Forest cover assessment
Guatemala,Satellite imagery,Change detection,"15.78347, -90.23024",FOREST MONITORING IN GUATEMALA USING SATELLITE IMAGERY AND DEEP LEARNING,Forest cover assessment
China,Remote sensing images,Woodland detection,"35.86166, 104.195397",WOODLAND DETECTION USING MOST-SURE STRATEGY TO FUSE SEGMENTATION RESULTS OF DEEP LEARNING,Forest cover assessment
Not specified,Climate data,Modeling stomatal conductance,Not specified,Machine learning models perform better than traditional empirical models for stomatal conductance when applied to multiple tree species across different forest biomes,Other
Not specified,TanDEM-X data,Forest classification,Not specified,DEEP LEARNING SOLUTIONS FOR TANDEM-X-BASED FOREST CLASSIFICATION,Tree species classification
Not specified,Images,Tree species identification,Not specified,Developing deep learning models to automate rosewood tree species identification for CITES designation and implementation,Tree species classification
"Parana, Brazil",Sentinel-2 images,Distinguishing and estimating natural forest areas,"-24.076949, -52.197030",Object-Based Image Analysis (OBIA) and Machine Learning (ML) Applied to Tropical Forest Mapping Using Sentinel-2,Forest cover assessment
Not specified,UAV LiDAR data and RGB orthophotos,Tree species classification,Not specified,TSCMDL: Multimodal Deep Learning Framework for Classifying Tree Species Using Fusion of 2-D and 3-D Features,Tree species classification
Not specified,3D laser scanning point clouds,Tree species classification,Not specified,Predicting Tree Species From 3D Laser Scanning Point Clouds Using Deep Learning,Tree species classification
Not specified,Terrestrial laser scanning,Leaf-wood segmentation,Not specified,THREE-DIMENSIONAL DEEP LEARNING FOR LEAF-WOOD SEGMENTATION OF TROPICAL TREE POINT CLOUDS,Tree species classification
"Northern Tasmania, Australia",Remote sensing data,Predicting forest productivity,"-41.10000, 146.00000","Supervised machine learning for predicting and interpreting dynamic drivers of plantation forest productivity in northern Tasmania, Australia",Canopy and biomass estimation
Brazil,Numerical and categorical data,Estimating volume and biomass,"-15.7801, -47.9292",Computational techniques applied to volume and biomass estimation of trees in Brazilian savanna,Canopy and biomass estimation
Not specified,Remote sensing data,Detecting and segmenting apple trees,Not specified,Extracting apple tree crown information from remote imagery using deep learning,Tree species classification
Not specified,UAV remote sensing data,Tracking tree changes,Not specified,Research on a Single-Tree Point Cloud Segmentation Method Based on UAV Tilt Photography and Deep Learning Algorithm,Tree species classification
"Black Forest, Harz Region, Göttinger Forest",Multispectral UAV data,Tree health classification,"51.99448, 8.57359","Evaluating Different Deep Learning Approaches for Tree Health Classification Using High-Resolution Multispectral UAV Data in the Black Forest, Harz Region, and Göttinger Forest",Tree species classification
"Northern Idaho, USA",Tree-ring data,Parameterizing forest growth models,"46.15019, -116.67344",Tree-ring based forest model calibrations with a deep learning algorithm,Canopy and biomass estimation
Kenya,Earth observation data,Monitoring forest cover change,"-1.286389, 36.817223",Pyeo: A Python package for near-real-time forest cover change detection from Earth observation using machine learning,Forest cover assessment
Not specified,Image data,Detecting disease and pest infections in coconut trees,"1.3521, 103.8198",Disease and pest infection detection in coconut tree through deep learning techniques,Tree species classification
Wolong Nature Reserve,InSAR,Estimating canopy height,"30.30851, 102.89085",Estimation of Broadleaf Tree Canopy Height of Wolong Nature Reserve Based on InSAR and Machine Learning Methods,Canopy and biomass estimation
"Columbia, SC, USA",High resolution NAIP imagery and Landsat thermal imagery,Identifying urban tree canopy and analyzing urban heat island effect,"34.00071, -81.03481","Machine Learning in Urban Tree Canopy Mapping: A Columbia, SC Case Study for Urban Heat Island Analysis",Canopy and biomass estimation
Not specified,Remote sensing data,Estimating aboveground biomass,"23.12911, 113.264385",Estimation aboveground biomass in subtropical bamboo forests based on an interpretable machine learning framework,Canopy and biomass estimation
"Arkhangelsk, Russia","Hyperspectral imagery, LiDAR data",Tree species classification,"64.53995, 40.57324",Remote sensing and machine learning for tree detection and classification in forestry applications,Tree species classification
"Huangshan Mountains, Anhui Province, China",Remote sensing data,Individual tree species identification,"29.7151, 118.1748",Individual Tree Species Identification Based on a Combination of Deep Learning and Traditional Features,Tree species classification
Iran,Remote sensing data,Modeling forest canopy cover,"36.5665, 54.3052","Modeling Forest Canopy Cover: A Synergistic Use of Sentinel-2, Aerial Photogrammetry Data, and Machine Learning",Canopy and biomass estimation
Not specified,Aerial imagery,Tree species classification,Not specified,DEEP LEARNING BASED AERIAL IMAGERY CLASSIFICATION FOR TREE SPECIES IDENTIFICATION,Tree species classification
Not specified,Digital images,Characterizing seed populations,Not specified,Image analysis of seeds and machine learning as a tool for distinguishing populations: Applied to an invasive tree species,Tree species classification
"Vaihingen, Germany",Multi-sensor remote sensed images,Land cover classification,"48.7095, 8.7008",Classification of remote sensed images using random forests and deep learning framework,Forest cover assessment
Bangladesh,Remote sensing data,Monitoring forest degradation,"21.42857, 92.96924",An integrated machine learning and remote sensing approach for monitoring forest degradation due to Rohingya refugee influx in Bangladesh,Habitat degradation and biodiversity monitoring
Kolovai,Satellite data,Coconut palm tree detection,"6.3112, -177.0939",Identification of coconut palm trees using single shot detector deep learning model,Tree species classification
Not specified,RGB imagery,Individual crown detection,"39.50000, -98.03500",Individual Tree-Crown Detection in RGB Imagery Using Semi-Supervised Deep Learning Neural Networks,Canopy and biomass estimation
Southeastern Brazil,Machine learning data,Carbon stock prediction,"-20.000000, -50.000000",Machine learning for carbon stock prediction in a tropical forest in Southeastern Brazil,Canopy and biomass estimation
Not specified,Remote sensing data,Leaf area index estimation,Not specified,A hybrid training approach for leaf area index estimation via Cubist and random forests machine-learning,Canopy and biomass estimation
Northern China,Machine learning data,Individual tree mortality prediction,"40.000000, 100.000000",Predicting Individual Tree Mortality of Larix gmelinii var. Principis-rupprechtii in Temperate Forests Using Machine Learning Methods,Tree species classification
Japan,UAV RGB image,Tree species identification,"36.2048, 138.2529",Practicality and Robustness of Tree Species Identification Using UAV RGB Image and Deep Learning in Temperate Forest in Japan,Tree species classification
Not specified,Deep learning,Forest fire detection,Not specified,A Deep Learning Based Object Identification System for Forest Fire Detection,Forest fire monitoring and prevention
Not specified,Field photographs,Tree species identification,Not specified,Identification of broad-leaf trees using deep learning based on field photographs of multiple leaves,Tree species classification
Not specified,3D point clouds,Tree species segmentation,Not specified,An Automatic Method for Tree Species Point Cloud Segmentation Based on Deep Learning,Tree species classification
Not specified,X-ray images,Knot localization,Not specified,Deep learning for the detection of semantic features in tree X-ray CT scans,Tree species classification
Eastern China,Multisource remote sensing data,Estimating aboveground carbon density,"35.86166, 104.195397",Estimation of Aboveground Carbon Density of Forests Using Deep Learning and Multisource Remote Sensing,Canopy and biomass estimation
"Gujarat, India",LiDAR,Mapping canopy height,"21.2353, 73.2229",Mixed tropical forests canopy height mapping from spaceborne LiDAR GEDI and multisensor imagery using machine learning models,Canopy and biomass estimation
Not specified,Remote sensing data,Estimating tree cover,Not specified,Tree Cover Estimation in Global Drylands from Space Using Deep Learning,Forest cover assessment
Taipei,Big dataset of street trees,Evaluating ecosystem services of urban forestry,"25.0478, 121.5319",An artificial intelligence approach for identifying efficient urban forest indicators on ecosystem service assessment,Forest cover assessment
Spain,Remote sensing data,Estimating forest height,"40.4637, -3.7492","LARGE-SCALE FOREST HEIGHT MAPPING FROM TANDEM-X, ICESAT-2 AND LANDSAT 8 DATA USING A MACHINE-LEARNING METHOD",Canopy and biomass estimation
Not specified,Ground-based LiDAR data,Tree species classification,Not specified,Tree Species Classification Using Ground-Based LiDAR Data by Various Point Cloud Deep Learning Methods,Tree species classification
Caspian temperate forest,"Landsat-8, Sentinel-2",Tree species composition mapping,"39.83219, 50.12945",Mapping tree species composition in a Caspian temperate mixed forest based on spectral-temporal metrics and machine learning,Tree species classification
China,Remote sensing data,Estimating aboveground biomass,"35.86166, 104.1954",Influence of Variable Selection and Forest Type on Forest Aboveground Biomass Estimation Using Machine Learning Algorithms,Canopy and biomass estimation
California,PlanetScope imagery,Detecting forest disturbance,"37.7749, -119.4194",Detection of forest disturbance across California using deep-learning on PlanetScope imagery,Habitat degradation and biodiversity monitoring
Brazil,Data collected from tree measurements,Modeling annual periodic increment in diameter of individual trees,"-19.5141, -42.6782",Machine learning: Modeling increment in diameter of individual trees on Atlantic Forest fragments,Tree species classification
South Africa,Remote sensing data,Mapping plantation forest genera,"-30.5595, 22.9375",Signature extension as a machine learning strategy for mapping plantation forest genera with Sentinel-2 imagery,Tree species classification
"West Virginia, United States",Landsat time series data,Operational forest type mapping,"38.59774, -80.45490","Forest Type Differentiation Using GLAD Phenology Metrics, Land Surface Parameters, and Machine Learning",Tree species classification
Iran,MODIS satellite imagery,Forest fire susceptibility mapping,"32.30530, 50.85852",Ubiquitous GIS-Based Forest Fire Susceptibility Mapping Using Artificial Intelligence Methods,Forest fire monitoring and prevention
eastern Canada,Remote sensing data,Detecting and classifying boreal forest disturbances,"53.7267, -94.1375",Evaluating deep learning methods applied to Landsat time series subsequences to detect and classify boreal forest disturbances events: The challenge of partial and progressive disturbances,Habitat degradation and biodiversity monitoring
Not specified,Smartphone sensor data,Monitoring forest road conditions,Not specified,Novel approach for forest road maintenance using smartphone sensor data and deep learning methods,Other
Costa Rica,Multispectral UAV data,Detecting dead woody components,"10.5, -85.5",Unmanned Aerial System and Machine Learning Techniques Help to Detect Dead Woody Components in a Tropical Dry Forest,Habitat degradation and biodiversity monitoring
Southern Chile,Hyperspectral imaging,Tree species classification,"-39.76328, -73.21314",CLASSIFICATION OF TREES IN HYPERSPECTRAL CANOPY DATA USING MACHINE LEARNING: COMPARATIVE ANALYSIS OF FOREST STRUCTURE COMPLEXITY,Tree species classification
"Jojadeh section of the Farim Forest, Hyrcanian Forest",Inventory data,Predicting net annual stand volume increment,"37.425, 48.703",Analysis of plot-level volume increment models developed from machine learning methods applied to an uneven-aged mixed forest,Canopy and biomass estimation
Brazil,High-resolution imagery,Tree canopy segmentation,"-15.7801, -47.9292",Machine learning and SLIC for Tree Canopies segmentation in urban areas,Canopy and biomass estimation
Not specified,Not specified,Reducing uncertainty in plot-level AGB estimates,Not specified,Improving Plot-Level Model of Forest Biomass: A Combined Approach Using Machine Learning with Spatial Statistics,Canopy and biomass estimation
"Florida Panhandle, Southern U.S.",Terrestrial laser scanning,Post-hurricane damage severity classification,"30.4569, -85.5219",Post-Hurricane Damage Severity Classification at the Individual Tree Level Using Terrestrial Laser Scanning and Deep Learning,Tree species classification
China,Sentinel imagery,Estimating above-ground biomass,"41.40425, 128.98172",Estimation of Forest Above-Ground Biomass by Geographically Weighted Regression and Machine Learning with Sentinel Imagery,Canopy and biomass estimation
China,VIIRS,Predicting forest fires,"35.86166, 104.1954",Mapping China's Forest Fire Risks with Machine Learning,Forest fire monitoring and prevention
United States,Forest Inventory and Analysis data,Predicting tree species richness,"37.09024, -95.71289",Improved prediction of tree species richness and interpretability of environmental drivers using a machine learning approach,Tree species classification
Not specified,Terrestrial laser scanning,Identifying tree-related microhabitats,Not specified,Identifying Tree-Related Microhabitats in TLS Point Clouds Using Machine Learning,Habitat degradation and biodiversity monitoring
Ethiopia,Satellite imagery,Mapping highland bamboo forests,"9.145, 40.489673",Improved mapping of highland bamboo forests using Sentinel-2 time series and machine learning in Google Earth Engine,Forest cover assessment
India,Remote sensing data,Estimating above-ground biomass,"21.0928, 75.9842",Estimating Above-Ground Biomass of the Regional Forest Landscape of Northern Western Ghats Using Machine Learning Algorithms and Multi-sensor Remote Sensing Data,Canopy and biomass estimation
Brazil,Time series data and static geographical data,Predicting deforestation,"-3.4653, -62.2159",Forecasting Amazon Rain-Forest Deforestation Using a Hybrid Machine Learning Model,Forest cover assessment
Not specified,Geostationary satellite data,Forest fire detection,Not specified,A deep learning model using geostationary satellite data for forest fire detection with reduced detection latency,Forest fire monitoring and prevention
European Alps,Tree-ring data,Determining geographical provenance of historical construction timbers,"46.61903, 11.78157",Using machine learning on tree-ring data to determine the geographical provenance of historical construction timbers,Tree species classification
Brazil,LiDAR data,Estimating stand and diversity variables,"-22.0000, -43.0000",Identification of Significative LiDAR Metrics and Comparison of Machine Learning Approaches for Estimating Stand and Diversity Variables in Heterogeneous Brazilian Atlantic Forest,Habitat degradation and biodiversity monitoring
Not specified,Video image data,Monitoring and early warning of forest fire risks,Not specified,Deep Learning-Based Forest Fire Risk Research on Monitoring and Early Warning Algorithms,Forest fire monitoring and prevention
Gwangneung region,Multi-temporally integrated imageries,Tree species classification,"37.30000, 127.10000",Deepening the Accuracy of Tree Species Classification: A Deep Learning-Based Methodology,Tree species classification
South America,MODIS,Mapping burned areas,"-15.7801, -47.9292",Mapping Burned Areas in Tropical Forests Using a Novel Machine Learning Framework,Forest fire monitoring and prevention
"Jodhpur, India",Landsat 8 OLI,Quantification of aboveground biomass,"26.2389, 73. maatlong23","Quantification of carbon sequestration by urban forest using Landsat 8 OLI and machine learning algorithms in Jodhpur, India",Canopy and biomass estimation
Turkey,Sentinel-2 images,Classifying tree species,"39.9334, 32.8597",FOREST SEMANTIC SEGMENTATION BASED ON DEEP LEARNING USING SENTINEL-2 IMAGES,Tree species classification
